client_id,contact,contact_duration,number_contacts,pdays,previous_campaign_contacts,previous_outcome,campaign_outcome,campaign_id,last_contact_date
1025,cellular,71,9,353,210,1.0,no,1,2022-09-13
1026,telephone,911,9,837,13,,yes,1,2022-09-18
1027,telephone,47,6,359,144,1.0,yes,1,2022-09-29
1028,telephone,283,4,708,951,,yes,1,2022-03-04
1029,cellular,4,2,333,585,1.0,yes,1,2022-09-03
1030,telephone,849,4,991,772,0.0,no,1,2022-03-01
1031,telephone,633,2,690,297,0.0,yes,1,2022-05-28
1032,cellular,212,4,192,813,1.0,yes,1,2022-05-01
1033,cellular,685,1,379,39,,no,1,2022-03-23
1034,cellular,459,2,892,25,1.0,yes,1,2022-05-03
1035,cellular,478,9,990,427,0.0,yes,1,2022-03-30
1036,telephone,602,3,584,270,,no,1,2022-05-03
1037,cellular,817,8,822,865,0.0,yes,1,2022-03-13
1038,cellular,793,8,934,793,0.0,no,1,2022-03-17
1039,telephone,560,8,514,329,1.0,no,1,2022-03-09
1040,telephone,316,6,862,196,0.0,no,1,2022-09-17
1041,cellular,503,2,724,190,1.0,no,1,2022-09-17
1042,telephone,904,4,45,113,,yes,1,2022-03-29
1043,telephone,15,9,755,848,1.0,no,1,2022-03-10
1044,cellular,706,5,509,326,1.0,no,1,2022-05-09
1045,telephone,988,2,105,658,1.0,no,1,2022-03-18
1046,telephone,667,5,301,865,,yes,1,2022-03-16
1047,cellular,853,8,115,786,1.0,yes,1,2022-09-12
1048,cellular,393,7,802,0,,no,1,2022-09-01
1049,cellular,239,9,906,906,1.0,no,1,2022-05-14
1050,cellular,918,1,92,932,0.0,no,1,2022-09-19
1051,telephone,427,5,155,294,,yes,1,2022-05-26
1052,cellular,373,9,553,283,1.0,yes,1,2022-03-22
1053,cellular,474,2,887,310,1.0,yes,1,2022-05-22
1054,telephone,197,9,759,956,1.0,yes,1,2022-09-02
1055,telephone,608,7,782,804,,no,1,2022-09-24
1056,telephone,804,9,309,752,1.0,yes,1,2022-05-14
1057,telephone,48,5,210,895,1.0,yes,1,2022-03-09
1058,cellular,448,4,618,380,1.0,no,1,2022-09-07
1059,telephone,388,1,585,784,,yes,1,2022-05-15
1060,cellular,383,9,260,799,,no,1,2022-05-28
1061,cellular,399,7,582,543,,yes,1,2022-05-11
1062,telephone,996,9,74,609,,no,1,2022-09-19
1063,cellular,559,7,124,490,,no,1,2022-09-16
1064,cellular,979,6,327,501,,yes,1,2022-03-22
1065,cellular,113,5,421,471,0.0,yes,1,2022-09-26
1066,telephone,45,9,781,967,,no,1,2022-09-17
1067,cellular,763,7,934,822,1.0,no,1,2022-09-01
1068,cellular,730,3,69,264,,no,1,2022-09-23
1069,telephone,875,8,424,250,0.0,no,1,2022-09-28
1070,telephone,358,9,292,962,1.0,yes,1,2022-09-16
1071,telephone,267,9,724,956,,no,1,2022-03-23
1072,cellular,613,5,679,382,1.0,yes,1,2022-05-21
1073,cellular,256,4,201,101,1.0,yes,1,2022-03-17
1074,cellular,224,2,228,869,,no,1,2022-05-19
1075,telephone,567,3,106,361,0.0,no,1,2022-03-18
1076,telephone,796,4,227,97,1.0,no,1,2022-05-13
1077,cellular,141,4,405,69,1.0,yes,1,2022-09-27
1078,telephone,732,8,39,197,0.0,yes,1,2022-09-15
1079,cellular,579,2,668,30,0.0,yes,1,2022-05-18
1080,telephone,565,7,350,853,0.0,no,1,2022-05-07
1081,telephone,15,8,939,944,0.0,yes,1,2022-09-09
1082,telephone,568,2,693,138,0.0,yes,1,2022-05-10
1083,telephone,550,9,471,824,,yes,1,2022-05-02
1084,telephone,966,1,371,383,1.0,no,1,2022-05-01
1085,telephone,807,2,223,470,,yes,1,2022-03-30
1086,telephone,450,8,546,12,,no,1,2022-05-26
1087,telephone,429,8,253,801,1.0,no,1,2022-05-12
1088,telephone,673,3,921,454,0.0,yes,1,2022-09-05
1089,cellular,917,4,104,408,,yes,1,2022-05-10
1090,cellular,681,2,179,552,1.0,no,1,2022-05-03
1091,cellular,353,1,933,668,,yes,1,2022-05-04
1092,cellular,268,6,102,649,0.0,no,1,2022-03-27
1093,cellular,445,2,158,419,0.0,no,1,2022-05-10
1094,telephone,66,4,178,615,1.0,no,1,2022-05-25
1095,cellular,156,1,780,952,0.0,yes,1,2022-09-20
1096,telephone,856,1,741,156,0.0,yes,1,2022-03-29
1097,telephone,61,9,980,419,,no,1,2022-03-30
1098,telephone,976,9,871,35,,no,1,2022-09-29
1099,cellular,338,1,453,82,0.0,no,1,2022-05-14
1100,cellular,685,4,167,900,,no,1,2022-03-23
1101,telephone,335,8,863,991,,no,1,2022-09-10
1102,cellular,314,8,519,892,1.0,yes,1,2022-03-12
1103,telephone,518,2,791,198,,no,1,2022-03-18
1104,cellular,6,1,289,526,0.0,yes,1,2022-09-17
1105,telephone,687,1,612,24,,yes,1,2022-05-01
1106,telephone,760,4,780,493,,no,1,2022-05-03
1107,cellular,985,3,589,457,1.0,yes,1,2022-05-14
1108,telephone,626,7,967,263,0.0,yes,1,2022-03-11
1109,cellular,242,5,881,734,1.0,no,1,2022-09-04
1110,telephone,487,4,176,80,,no,1,2022-05-17
1111,cellular,59,4,961,957,,no,1,2022-09-24
1112,telephone,621,4,487,445,1.0,no,1,2022-05-06
1113,cellular,485,1,145,276,1.0,no,1,2022-05-29
1114,cellular,899,2,20,16,1.0,no,1,2022-05-13
1115,cellular,513,6,163,970,,no,1,2022-09-03
1116,telephone,973,1,201,364,1.0,no,1,2022-05-28
1117,telephone,378,4,653,278,,no,1,2022-09-28
1118,telephone,794,3,739,373,,yes,1,2022-05-26
1119,telephone,215,7,456,362,0.0,yes,1,2022-03-12
1120,cellular,652,5,308,138,,no,1,2022-03-14
1121,telephone,560,5,767,109,,no,1,2022-09-05
1122,telephone,96,8,25,955,0.0,no,1,2022-05-07
1123,telephone,161,3,661,485,,no,1,2022-05-22
1124,cellular,151,6,367,954,0.0,no,1,2022-05-07
1125,telephone,500,6,3,465,,no,1,2022-09-14
1126,telephone,457,8,482,336,1.0,yes,1,2022-09-01
1127,telephone,794,3,556,794,1.0,yes,1,2022-05-29
1128,telephone,856,5,132,420,1.0,yes,1,2022-05-19
1129,cellular,58,3,76,46,0.0,yes,1,2022-03-05
1130,cellular,898,4,855,207,,yes,1,2022-03-26
1131,telephone,685,9,202,315,,no,1,2022-09-24
1132,cellular,912,7,185,253,0.0,no,1,2022-05-15
1133,cellular,797,6,426,391,,no,1,2022-03-05
1134,telephone,275,6,823,885,,no,1,2022-03-08
1135,cellular,715,1,2,987,0.0,no,1,2022-05-20
1136,cellular,583,4,289,445,0.0,no,1,2022-05-18
1137,telephone,57,4,138,234,1.0,yes,1,2022-05-22
1138,cellular,718,1,587,363,0.0,no,1,2022-03-17
1139,telephone,491,2,757,501,,no,1,2022-05-29
1140,cellular,183,2,470,15,,no,1,2022-03-06
1141,telephone,607,7,781,86,0.0,no,1,2022-09-10
1142,cellular,461,2,259,237,0.0,no,1,2022-05-03
1143,cellular,488,7,379,250,1.0,yes,1,2022-03-15
1144,cellular,995,1,776,497,1.0,no,1,2022-09-04
1145,cellular,735,5,983,145,1.0,yes,1,2022-03-12
1146,telephone,508,2,864,485,,no,1,2022-03-05
1147,telephone,624,1,842,190,1.0,yes,1,2022-09-28
1148,telephone,158,3,373,232,0.0,yes,1,2022-09-26
1149,cellular,348,9,941,162,1.0,yes,1,2022-05-24
1150,cellular,758,3,55,138,1.0,yes,1,2022-03-30
1151,cellular,497,3,928,107,1.0,no,1,2022-05-20
1152,telephone,141,8,766,80,1.0,no,1,2022-09-23
1153,telephone,474,1,773,544,0.0,yes,1,2022-09-02
1154,cellular,974,8,474,881,,yes,1,2022-05-26
1155,telephone,784,2,655,993,0.0,no,1,2022-05-14
1156,telephone,901,7,446,985,,yes,1,2022-05-02
1157,cellular,863,7,168,618,0.0,no,1,2022-03-20
1158,cellular,922,9,762,479,0.0,yes,1,2022-05-06
1159,cellular,301,6,910,107,0.0,no,1,2022-05-16
1160,cellular,70,3,2,429,1.0,yes,1,2022-05-25
1161,cellular,907,3,272,831,1.0,yes,1,2022-05-15
1162,cellular,698,1,556,115,1.0,yes,1,2022-05-01
1163,cellular,270,8,806,316,,yes,1,2022-05-19
1164,cellular,568,7,120,692,0.0,yes,1,2022-05-21
1165,telephone,123,5,290,186,0.0,no,1,2022-05-22
1166,telephone,970,4,477,309,,no,1,2022-03-08
1167,telephone,710,8,737,448,,no,1,2022-05-27
1168,telephone,908,8,146,793,,no,1,2022-03-19
1169,telephone,914,2,261,543,,yes,1,2022-03-12
1170,telephone,903,2,507,930,,yes,1,2022-09-11
1171,cellular,755,8,622,745,1.0,no,1,2022-09-16
1172,telephone,129,9,653,816,1.0,no,1,2022-05-01
1173,telephone,475,4,824,51,0.0,yes,1,2022-09-17
1174,cellular,900,6,419,202,,yes,1,2022-09-07
1175,cellular,771,9,642,788,1.0,yes,1,2022-03-14
1176,cellular,48,7,687,370,,no,1,2022-09-14
1177,telephone,737,8,85,761,1.0,yes,1,2022-09-03
1178,cellular,853,1,905,949,,no,1,2022-05-24
1179,telephone,151,5,578,218,,yes,1,2022-05-27
1180,telephone,468,4,451,192,0.0,no,1,2022-03-02
1181,telephone,738,6,236,264,0.0,yes,1,2022-05-15
1182,cellular,134,5,214,350,,yes,1,2022-05-18
1183,telephone,792,3,862,723,1.0,yes,1,2022-05-11
1184,telephone,581,9,931,541,0.0,yes,1,2022-05-13
1185,cellular,500,3,714,714,0.0,no,1,2022-03-06
1186,telephone,289,4,735,338,1.0,no,1,2022-05-28
1187,cellular,628,9,376,372,0.0,yes,1,2022-05-13
1188,telephone,226,5,693,906,0.0,yes,1,2022-09-01
1189,cellular,710,1,908,386,,yes,1,2022-09-07
1190,telephone,192,6,253,528,1.0,no,1,2022-05-29
1191,telephone,725,2,385,743,,no,1,2022-03-12
1192,telephone,110,1,494,194,0.0,no,1,2022-03-21
1193,cellular,253,5,737,963,,yes,1,2022-05-22
1194,telephone,298,9,437,923,1.0,yes,1,2022-03-27
1195,cellular,954,7,788,383,1.0,no,1,2022-09-30
1196,cellular,584,3,743,665,1.0,yes,1,2022-05-24
1197,cellular,176,6,622,51,0.0,yes,1,2022-03-26
1198,telephone,976,2,586,926,0.0,no,1,2022-09-10
1199,telephone,873,4,226,78,,yes,1,2022-09-29
1200,cellular,836,1,673,630,1.0,yes,1,2022-03-14
1201,cellular,961,5,323,595,,yes,1,2022-09-02
1202,cellular,464,8,769,286,0.0,no,1,2022-05-12
1203,cellular,121,2,495,445,0.0,no,1,2022-05-05
1204,telephone,363,9,430,301,,yes,1,2022-03-24
1205,cellular,330,3,186,739,,yes,1,2022-05-20
1206,cellular,674,8,896,727,0.0,no,1,2022-09-25
1207,telephone,269,1,840,523,,no,1,2022-09-23
1208,telephone,751,2,448,949,,no,1,2022-09-01
1209,cellular,470,4,809,540,1.0,yes,1,2022-05-30
1210,telephone,718,3,28,698,0.0,no,1,2022-09-08
1211,cellular,241,6,510,404,,no,1,2022-03-24
1212,cellular,290,7,200,60,1.0,no,1,2022-09-03
1213,cellular,412,9,209,617,,yes,1,2022-03-25
1214,cellular,132,2,549,604,0.0,no,1,2022-05-21
1215,telephone,262,8,734,244,1.0,yes,1,2022-03-11
1216,telephone,668,1,759,329,0.0,no,1,2022-05-07
1217,cellular,744,7,125,434,,yes,1,2022-09-03
1218,telephone,48,6,961,254,1.0,no,1,2022-09-15
1219,telephone,372,9,531,597,0.0,yes,1,2022-03-05
1220,telephone,550,5,589,80,,no,1,2022-03-15
1221,telephone,657,1,747,559,1.0,yes,1,2022-05-28
1222,telephone,172,1,874,47,0.0,no,1,2022-09-26
1223,cellular,82,6,714,526,1.0,yes,1,2022-09-18
1224,cellular,634,5,143,125,1.0,yes,1,2022-09-08
1225,telephone,985,7,591,30,,yes,1,2022-03-21
1226,telephone,910,8,502,249,1.0,no,1,2022-09-20
1227,telephone,163,8,766,683,,yes,1,2022-09-20
1228,cellular,92,8,606,180,0.0,yes,1,2022-03-25
1229,cellular,543,8,128,108,0.0,no,1,2022-05-04
1230,cellular,196,4,618,66,1.0,yes,1,2022-05-08
1231,cellular,901,7,906,90,0.0,no,1,2022-03-19
1232,telephone,524,1,107,175,1.0,yes,1,2022-09-08
1233,telephone,427,2,406,692,1.0,yes,1,2022-09-05
1234,telephone,600,5,489,482,0.0,yes,1,2022-05-14
1235,cellular,738,7,61,818,0.0,yes,1,2022-03-19
1236,telephone,781,9,344,641,0.0,no,1,2022-09-28
1237,cellular,586,6,562,168,,yes,1,2022-09-12
1238,telephone,627,5,405,370,1.0,no,1,2022-03-10
1239,telephone,809,3,582,635,,yes,1,2022-03-21
1240,telephone,231,1,416,46,,yes,1,2022-05-14
1241,cellular,282,4,296,526,0.0,yes,1,2022-05-27
1242,cellular,876,6,172,662,,yes,1,2022-03-10
1243,cellular,186,1,74,381,0.0,yes,1,2022-03-08
1244,telephone,48,6,566,176,1.0,yes,1,2022-09-17
1245,cellular,762,4,347,415,,no,1,2022-03-03
1246,cellular,717,6,564,290,0.0,no,1,2022-03-09
1247,telephone,789,8,722,44,0.0,no,1,2022-03-30
1248,cellular,997,8,843,195,1.0,no,1,2022-03-24
1249,cellular,915,3,563,468,0.0,no,1,2022-09-08
1250,cellular,947,3,54,453,0.0,yes,1,2022-03-21
1251,cellular,4,4,666,897,0.0,yes,1,2022-03-10
1252,cellular,853,1,855,681,0.0,yes,1,2022-09-16
1253,cellular,551,3,170,574,,no,1,2022-09-18
1254,telephone,940,8,271,397,,yes,1,2022-05-10
1255,cellular,168,9,225,331,1.0,no,1,2022-09-06
1256,telephone,514,9,522,273,1.0,no,1,2022-03-17
1257,telephone,676,6,267,886,,no,1,2022-03-06
1258,cellular,453,7,313,217,1.0,no,1,2022-03-16
1259,telephone,128,3,616,233,0.0,yes,1,2022-09-30
1260,cellular,12,6,347,961,0.0,yes,1,2022-09-06
1261,telephone,466,4,337,733,1.0,no,1,2022-05-30
1262,cellular,194,4,3,126,,yes,1,2022-05-22
1263,cellular,982,4,272,638,0.0,yes,1,2022-09-01
1264,telephone,702,1,504,532,,yes,1,2022-03-06
1265,telephone,734,1,713,793,0.0,no,1,2022-03-19
1266,cellular,959,5,998,19,0.0,yes,1,2022-03-28
1267,cellular,283,8,434,32,1.0,no,1,2022-03-16
1268,cellular,596,7,504,233,,yes,1,2022-03-07
1269,telephone,771,4,565,979,0.0,no,1,2022-03-24
1270,cellular,648,7,73,131,,yes,1,2022-05-22
1271,cellular,683,7,84,535,1.0,yes,1,2022-03-27
1272,telephone,555,4,658,416,0.0,no,1,2022-03-23
1273,telephone,879,4,702,35,1.0,yes,1,2022-05-25
1274,telephone,683,9,501,571,0.0,yes,1,2022-09-06
1275,telephone,918,8,617,786,0.0,no,1,2022-09-09
1276,cellular,484,7,733,986,,yes,1,2022-05-11
1277,telephone,765,4,212,737,,yes,1,2022-03-28
1278,telephone,996,8,546,906,1.0,yes,1,2022-09-02
1279,cellular,325,4,98,454,,yes,1,2022-05-21
1280,cellular,424,2,421,133,1.0,no,1,2022-03-03
1281,telephone,185,7,385,769,,yes,1,2022-03-04
1282,cellular,152,5,872,194,0.0,no,1,2022-09-22
1283,cellular,66,4,491,290,,yes,1,2022-03-28
1284,telephone,992,1,485,465,1.0,no,1,2022-05-18
1285,telephone,865,8,354,945,,no,1,2022-03-23
1286,cellular,778,5,93,849,,no,1,2022-03-08
1287,cellular,154,7,904,143,0.0,no,1,2022-05-22
1288,telephone,674,6,255,894,1.0,yes,1,2022-05-30
1289,cellular,331,1,449,653,,yes,1,2022-03-04
1290,telephone,863,1,154,432,1.0,no,1,2022-09-19
1291,telephone,646,5,38,785,0.0,yes,1,2022-09-30
1292,cellular,148,6,523,767,0.0,no,1,2022-09-24
1293,cellular,547,7,786,169,,no,1,2022-09-07
1294,cellular,519,9,413,333,0.0,no,1,2022-05-05
1295,telephone,524,3,982,11,,no,1,2022-05-06
1296,telephone,261,4,425,918,1.0,yes,1,2022-09-18
1297,telephone,847,6,855,690,0.0,yes,1,2022-09-12
1298,telephone,255,4,263,342,1.0,yes,1,2022-05-06
1299,telephone,410,4,213,308,0.0,no,1,2022-03-16
1300,cellular,216,9,206,980,0.0,yes,1,2022-09-21
1301,telephone,888,2,519,742,1.0,no,1,2022-03-05
1302,telephone,678,2,202,714,,no,1,2022-09-22
1303,cellular,38,9,95,480,,yes,1,2022-05-02
1304,telephone,193,9,54,356,1.0,yes,1,2022-03-28
1305,cellular,417,5,913,955,0.0,yes,1,2022-09-22
1306,cellular,207,2,25,524,1.0,no,1,2022-05-07
1307,telephone,694,7,134,756,0.0,no,1,2022-09-30
1308,cellular,101,8,955,748,0.0,no,1,2022-05-06
1309,cellular,658,2,320,37,,yes,1,2022-09-27
1310,telephone,579,6,891,282,0.0,no,1,2022-05-06
1311,telephone,10,6,134,358,0.0,yes,1,2022-05-27
1312,telephone,887,8,690,650,,yes,1,2022-09-06
1313,cellular,763,6,768,995,0.0,yes,1,2022-09-23
1314,telephone,570,8,533,331,,yes,1,2022-03-17
1315,telephone,377,3,322,165,1.0,no,1,2022-09-04
1316,cellular,85,2,743,116,0.0,no,1,2022-09-05
1317,cellular,99,2,588,353,1.0,yes,1,2022-05-03
1318,telephone,981,3,688,379,1.0,no,1,2022-03-19
1319,cellular,942,5,47,793,0.0,yes,1,2022-05-07
1320,telephone,14,2,929,501,,yes,1,2022-05-16
1321,telephone,960,7,73,833,,yes,1,2022-05-17
1322,cellular,390,8,919,474,1.0,no,1,2022-03-03
1323,telephone,681,9,522,309,0.0,yes,1,2022-09-07
1324,cellular,836,5,152,562,,no,1,2022-03-15
1325,telephone,875,9,911,636,,yes,1,2022-03-21
1326,telephone,125,6,766,432,,no,1,2022-05-14
1327,telephone,237,1,116,508,1.0,no,1,2022-03-01
1328,telephone,671,4,559,892,0.0,no,1,2022-05-02
1329,cellular,483,1,101,632,,no,1,2022-05-28
1330,telephone,366,9,990,756,1.0,no,1,2022-05-28
1331,cellular,136,1,827,616,,yes,1,2022-09-05
1332,telephone,179,9,632,459,1.0,yes,1,2022-03-20
1333,telephone,71,5,222,475,0.0,no,1,2022-03-07
1334,telephone,394,7,440,281,0.0,no,1,2022-05-04
1335,telephone,598,6,898,853,1.0,yes,1,2022-03-07
1336,telephone,208,7,585,421,,yes,1,2022-09-10
1337,cellular,528,6,899,50,0.0,no,1,2022-05-16
1338,telephone,449,6,967,854,,yes,1,2022-05-23
1339,cellular,180,7,911,203,,yes,1,2022-05-27
1340,telephone,642,5,359,22,,no,1,2022-03-25
1341,cellular,872,9,920,671,0.0,yes,1,2022-09-24
1342,telephone,881,6,332,617,0.0,no,1,2022-05-24
1343,cellular,185,2,810,73,,yes,1,2022-03-08
1344,telephone,2,5,739,178,0.0,yes,1,2022-03-08
1345,telephone,371,9,995,439,1.0,no,1,2022-05-04
1346,cellular,654,8,408,318,1.0,yes,1,2022-09-07
1347,cellular,154,2,330,704,,yes,1,2022-03-18
1348,cellular,754,1,846,737,0.0,yes,1,2022-05-17
1349,cellular,351,8,912,350,0.0,yes,1,2022-09-26
1350,cellular,450,9,744,147,0.0,yes,1,2022-09-11
1351,telephone,249,4,485,769,1.0,no,1,2022-03-19
1352,telephone,161,8,144,795,1.0,no,1,2022-05-19
1353,cellular,305,6,917,297,0.0,yes,1,2022-09-23
1354,telephone,702,3,318,811,1.0,no,1,2022-05-22
1355,telephone,604,5,320,143,,yes,1,2022-05-21
1356,cellular,863,5,709,305,,yes,1,2022-05-18
1357,cellular,272,8,677,602,0.0,yes,1,2022-03-20
1358,cellular,77,7,513,378,,yes,1,2022-05-26
1359,telephone,771,1,884,253,1.0,yes,1,2022-03-17
1360,telephone,919,2,691,692,0.0,no,1,2022-09-01
1361,cellular,826,1,472,985,,no,1,2022-03-21
1362,telephone,972,1,752,925,1.0,no,1,2022-05-27
1363,telephone,190,1,644,545,0.0,yes,1,2022-05-11
1364,telephone,757,3,423,35,0.0,no,1,2022-05-10
1365,cellular,114,1,369,429,0.0,yes,1,2022-03-08
1366,telephone,906,6,290,948,,yes,1,2022-05-04
1367,telephone,995,1,747,215,1.0,yes,1,2022-05-12
1368,cellular,663,2,129,359,1.0,no,1,2022-05-11
1369,telephone,385,9,20,370,,no,1,2022-09-11
1370,telephone,197,1,989,35,,yes,1,2022-05-08
1371,telephone,715,4,197,449,0.0,yes,1,2022-09-16
1372,cellular,530,9,39,78,0.0,yes,1,2022-03-18
1373,telephone,286,8,304,184,,yes,1,2022-05-28
1374,cellular,669,7,847,652,1.0,yes,1,2022-05-07
1375,cellular,141,4,311,232,0.0,yes,1,2022-03-05
1376,telephone,266,7,71,362,1.0,no,1,2022-05-20
1377,cellular,351,1,482,137,1.0,no,1,2022-05-07
1378,telephone,491,2,660,190,0.0,no,1,2022-05-01
1379,cellular,507,1,723,828,,no,1,2022-03-23
1380,cellular,466,6,648,352,1.0,no,1,2022-09-24
1381,telephone,945,5,692,979,,no,1,2022-03-08
1382,cellular,824,2,126,666,,yes,1,2022-09-10
1383,telephone,169,6,784,230,,no,1,2022-03-30
1384,telephone,837,6,296,848,,no,1,2022-05-15
1385,telephone,349,8,529,924,,no,1,2022-05-07
1386,cellular,316,5,901,228,0.0,yes,1,2022-05-16
1387,telephone,799,5,451,55,,yes,1,2022-09-26
1388,telephone,93,1,577,114,,no,1,2022-03-10
1389,telephone,377,4,332,292,,no,1,2022-05-07
1390,telephone,968,2,666,569,1.0,no,1,2022-09-13
1391,telephone,633,5,385,237,0.0,yes,1,2022-03-19
1392,cellular,778,9,410,90,1.0,no,1,2022-03-22
1393,telephone,825,6,491,751,1.0,yes,1,2022-05-21
1394,telephone,805,3,101,179,1.0,no,1,2022-03-30
1395,telephone,480,6,370,760,0.0,yes,1,2022-09-04
1396,cellular,848,4,945,800,0.0,no,1,2022-09-16
1397,telephone,822,6,984,991,1.0,no,1,2022-03-19
1398,telephone,282,8,62,156,,no,1,2022-03-15
1399,telephone,833,4,229,449,1.0,yes,1,2022-09-14
1400,cellular,840,9,949,636,0.0,yes,1,2022-09-08
1401,telephone,285,2,108,360,0.0,no,1,2022-09-25
1402,telephone,406,1,625,351,1.0,yes,1,2022-09-24
1403,cellular,815,3,735,375,1.0,yes,1,2022-09-27
1404,telephone,756,7,961,898,0.0,yes,1,2022-09-20
1405,cellular,64,4,269,449,1.0,no,1,2022-09-01
1406,cellular,199,2,367,530,1.0,yes,1,2022-09-17
1407,cellular,885,5,737,222,,yes,1,2022-05-25
1408,telephone,332,4,63,728,0.0,yes,1,2022-03-20
1409,telephone,452,4,314,792,0.0,yes,1,2022-03-06
1410,telephone,546,9,994,52,0.0,yes,1,2022-09-22
1411,telephone,762,8,78,898,1.0,no,1,2022-09-16
1412,telephone,6,2,757,816,0.0,no,1,2022-09-21
1413,cellular,222,4,23,142,1.0,yes,1,2022-05-02
1414,cellular,614,9,861,156,0.0,no,1,2022-03-14
1415,cellular,110,5,347,257,0.0,yes,1,2022-03-26
1416,cellular,922,9,868,747,1.0,yes,1,2022-09-04
1417,cellular,578,3,843,922,,yes,1,2022-09-15
1418,cellular,509,6,403,92,0.0,no,1,2022-09-28
1419,cellular,635,5,472,799,,yes,1,2022-05-21
1420,telephone,964,5,943,694,1.0,yes,1,2022-09-08
1421,cellular,461,5,750,4,1.0,yes,1,2022-03-08
1422,cellular,527,8,934,701,0.0,yes,1,2022-03-08
1423,telephone,938,6,329,508,1.0,no,1,2022-09-18
1424,telephone,248,8,748,148,0.0,yes,1,2022-03-26
1425,telephone,500,5,8,61,,no,1,2022-03-07
1426,telephone,234,4,607,305,1.0,no,1,2022-09-24
1427,telephone,847,3,522,196,1.0,no,1,2022-09-03
1428,cellular,417,5,443,790,1.0,yes,1,2022-03-28
1429,cellular,568,4,805,327,0.0,yes,1,2022-09-23
1430,telephone,439,9,917,747,1.0,no,1,2022-03-14
1431,telephone,55,3,225,370,,yes,1,2022-05-11
1432,telephone,662,5,642,381,,no,1,2022-09-16
1433,telephone,677,9,712,53,0.0,yes,1,2022-05-02
1434,cellular,80,4,514,836,,yes,1,2022-09-19
1435,telephone,695,5,485,453,0.0,no,1,2022-09-01
1436,cellular,215,5,374,576,1.0,no,1,2022-05-28
1437,telephone,497,9,30,514,,no,1,2022-09-16
1438,cellular,235,7,332,824,1.0,no,1,2022-03-11
1439,cellular,961,8,955,233,0.0,yes,1,2022-09-29
1440,telephone,592,1,846,556,0.0,no,1,2022-09-19
1441,cellular,640,4,727,724,1.0,no,1,2022-03-09
1442,cellular,627,6,478,917,1.0,yes,1,2022-09-28
1443,telephone,254,7,387,608,1.0,yes,1,2022-05-13
1444,cellular,662,5,991,237,1.0,no,1,2022-05-11
1445,cellular,683,6,452,363,1.0,yes,1,2022-09-16
1446,telephone,631,6,138,710,,no,1,2022-05-24
1447,telephone,467,1,579,405,0.0,yes,1,2022-03-03
1448,cellular,237,3,87,642,1.0,yes,1,2022-03-24
1449,cellular,454,6,641,709,0.0,no,1,2022-05-03
1450,telephone,260,4,696,292,1.0,no,1,2022-05-08
1451,telephone,431,1,130,777,0.0,yes,1,2022-05-24
1452,telephone,924,6,739,59,0.0,yes,1,2022-03-09
1453,cellular,467,2,574,199,1.0,yes,1,2022-09-19
1454,cellular,12,3,811,843,1.0,yes,1,2022-03-07
1455,telephone,479,6,924,252,0.0,no,1,2022-05-15
1456,telephone,313,9,145,723,1.0,no,1,2022-09-23
1457,cellular,466,3,970,796,1.0,no,1,2022-03-16
1458,cellular,315,4,538,821,0.0,yes,1,2022-03-05
1459,cellular,489,8,626,859,0.0,yes,1,2022-05-20
1460,telephone,556,9,725,238,0.0,yes,1,2022-05-30
1461,cellular,720,9,531,556,,yes,1,2022-03-01
1462,cellular,255,1,479,893,,no,1,2022-05-09
1463,cellular,769,8,998,207,0.0,yes,1,2022-09-06
1464,cellular,182,8,991,16,1.0,no,1,2022-03-17
1465,cellular,988,5,722,955,0.0,yes,1,2022-05-05
1466,cellular,465,7,69,209,1.0,yes,1,2022-03-06
1467,telephone,852,2,208,90,,no,1,2022-03-19
1468,telephone,417,4,178,513,0.0,no,1,2022-03-03
1469,telephone,471,6,22,283,,yes,1,2022-05-10
1470,telephone,853,8,166,685,,no,1,2022-03-19
1471,telephone,588,8,427,128,,yes,1,2022-05-05
1472,cellular,995,6,949,503,,no,1,2022-05-21
1473,cellular,166,1,62,812,0.0,yes,1,2022-09-07
1474,telephone,28,5,554,785,,yes,1,2022-03-10
1475,cellular,689,9,130,960,1.0,no,1,2022-09-19
1476,telephone,715,9,636,100,,no,1,2022-09-27
1477,cellular,479,3,410,563,0.0,no,1,2022-05-17
1478,cellular,650,6,965,946,1.0,yes,1,2022-03-12
1479,telephone,739,5,793,147,,yes,1,2022-09-29
1480,cellular,989,6,377,179,,no,1,2022-05-19
1481,cellular,793,8,291,460,0.0,no,1,2022-09-10
1482,cellular,169,8,766,379,0.0,yes,1,2022-09-15
1483,cellular,214,6,744,266,1.0,no,1,2022-05-30
1484,telephone,603,4,618,441,1.0,yes,1,2022-03-06
1485,cellular,282,5,991,459,,no,1,2022-03-07
1486,cellular,860,7,273,483,,yes,1,2022-09-13
1487,telephone,322,7,180,839,1.0,yes,1,2022-09-12
1488,cellular,435,9,357,262,,no,1,2022-05-29
1489,telephone,991,8,27,944,0.0,yes,1,2022-05-13
1490,telephone,651,2,161,549,1.0,no,1,2022-03-15
1491,cellular,212,8,370,792,0.0,no,1,2022-05-28
1492,cellular,876,2,9,530,0.0,yes,1,2022-03-24
1493,cellular,658,4,354,606,,yes,1,2022-05-07
1494,cellular,330,3,389,317,,no,1,2022-09-15
1495,telephone,453,7,907,445,0.0,no,1,2022-03-06
1496,cellular,574,5,369,504,0.0,yes,1,2022-09-09
